accidentYear,longitude,latitude,AccidentSeverityDescription,accidentDate,DayOfWeekDescription,accidentTime,RoadTypeDescription,speedLimit,LightConditionsDescription,tavg,prcp,snow,wspd,month,rad_lng,rad_lat,cluster,Timestamp,TimestampInt
2021,-0.211699,51.581262,Slight,03/10/2021,Sunday,00:00.0,Dual carriageway,40,Daylight,11.69999981,17.5,0,17.5,10,-0.0036948445731794,0.9002628542338353,286,2021-03-10,
2021,-0.086265,51.526056,Slight,07/10/2021,Thursday,45:00.0,Single carriageway,30,Darkness - lights lit,14.39999962,0.0,0,9.0,10,-0.0015056082792329,0.8992993277669794,25,2021-07-10,
2021,-0.081012,51.524801,Serious,11/09/2021,Saturday,45:00.0,Single carriageway,20,Daylight,17.10000038,1.799999952,0,14.60000038,9,-0.0014139261336256,0.8992774238848668,19,2021-11-09,
2021,-0.174554,51.523443,Slight,06/10/2021,Wednesday,40:00.0,Single carriageway,20,Daylight,11.30000019,0.300000012,0,22.10000038,10,-0.0030465420225261,0.8992537223136247,133,2021-06-10,
2021,-0.093029,51.501508,Slight,07/10/2021,Thursday,00:00.0,Unknown,20,Daylight,14.39999962,0.0,0,9.0,10,-0.0016236623498378,0.8988708843421999,22,2021-07-10,
2021,0.031264,51.517127,Serious,07/10/2021,Thursday,55:00.0,Dual carriageway,50,Daylight,14.39999962,0.0,0,9.0,10,0.0005456597373435,0.8991434873180688,266,2021-07-10,
2021,-0.093802,51.484345,Slight,07/10/2021,Thursday,10:00.0,Single carriageway,20,Daylight,14.39999962,0.0,0,9.0,10,-0.0016371537449557,0.8985713334826799,303,2021-07-10,
2021,-0.119151,51.5113,Slight,07/10/2021,Thursday,20:00.0,Single carriageway,20,Daylight,14.39999962,0.0,0,9.0,10,-0.0020795772570437,0.8990417869825551,362,2021-07-10,
2021,-0.159765,51.52198,Slight,07/10/2021,Thursday,50:00.0,Single carriageway,20,Daylight,14.39999962,0.0,0,9.0,10,-0.0027884252794487,0.8992281881466679,117,2021-07-10,
2021,-0.130682,51.516907,Slight,07/10/2021,Thursday,40:00.0,Dual carriageway,20,Darkness - lights lit,14.39999962,0.0,0,9.0,10,-0.0022808311730912,0.8991396475937145,151,2021-07-10,
2021,-0.142003,51.515325,Serious,06/10/2021,Wednesday,55:00.0,One way street,20,Darkness - lights lit,11.30000019,0.300000012,0,22.10000038,10,-0.0024784198977095,0.8991120364849478,24,2021-06-10,
2021,-0.129593,51.488599,Slight,07/10/2021,Thursday,50:00.0,Unknown,30,Daylight,14.39999962,0.0,0,9.0,10,-0.002261824537537,0.8986455797890598,110,2021-07-10,
2021,-0.126091,51.500926,Slight,08/10/2021,Friday,15:00.0,Single carriageway,20,Darkness - lighting unknown,14.89999962,0.300000012,0,5.800000191,10,-0.0022007031071321,0.8988607265259532,85,2021-08-10,
2021,-0.142423,51.538991,Serious,08/10/2021,Friday,15:00.0,Single carriageway,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0024857502805678,0.8995250861057248,28,2021-08-10,
2021,-0.009797,51.51785,Slight,08/10/2021,Friday,44:00.0,Dual carriageway,40,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0001709899068178,0.8991561060485607,195,2021-08-10,
2021,-0.102543,51.56587,Slight,08/10/2021,Friday,55:00.0,Single carriageway,20,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0017897129748725,0.8999942131553682,211,2021-08-10,
2021,-0.11136,51.481562,Slight,08/10/2021,Friday,05:00.0,One way street,20,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0019435986550208,0.898522760969597,13,2021-08-10,
2021,-0.116424,51.460007,Slight,08/10/2021,Friday,35:00.0,Single carriageway,20,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0020319821283418,0.8981465552493295,214,2021-08-10,
2021,0.009386,51.542702,Slight,08/10/2021,Friday,38:00.0,Single carriageway,20,Daylight,14.89999962,0.300000012,0,5.800000191,10,0.0001638166035921,0.8995898552742663,200,2021-08-10,
2021,0.177083,51.480742,Serious,08/10/2021,Friday,08:00.0,Roundabout,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,0.0030906813993091,0.8985084492697306,57,2021-08-10,
2021,-0.136769,51.48535,Serious,08/10/2021,Friday,58:00.0,Single carriageway,20,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0023870693646601,0.8985888740416625,367,2021-08-10,
2021,-0.103424,51.590497,Slight,05/10/2021,Tuesday,45:00.0,Single carriageway,30,Daylight,12.10000038,11.69999981,0,25.10000038,10,-0.0018050893255826,0.900424035390257,175,2021-05-10,
2021,0.093019,51.529855,Slight,08/10/2021,Friday,42:00.0,Single carriageway,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,0.0016234878169126,0.8993656328252625,272,2021-08-10,
2021,-0.071511,51.515284,Serious,08/10/2021,Friday,46:00.0,Dual carriageway,30,Darkness - lights lit,14.89999962,0.300000012,0,5.800000191,10,-0.0012481024013936,0.8991113208999546,16,2021-08-10,
2021,-0.252917,51.539609,Slight,08/10/2021,Friday,20:00.0,Single carriageway,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0044142343842664,0.8995358722405021,338,2021-08-10,
2021,0.029612,51.45078,Slight,09/10/2021,Saturday,05:00.0,Roundabout,30,Daylight,12.5,0.300000012,0,5.699999809,10,0.0005168268981005,0.8979855137192481,129,2021-09-10,
2021,-0.07308,51.565524,Slight,09/10/2021,Saturday,14:00.0,Dual carriageway,20,Daylight,12.5,0.300000012,0,5.699999809,10,-0.0012754866173574,0.8999881743161565,103,2021-09-10,
2021,-0.116676,51.461918,Slight,08/10/2021,Friday,25:00.0,Single carriageway,20,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0020363803580569,0.8981799084913351,77,2021-08-10,
2021,-0.100123,51.493413,Slight,09/10/2021,Saturday,05:00.0,Dual carriageway,20,Darkness - lights lit,12.5,0.300000012,0,5.699999809,10,-0.0017474760069742,0.8987295999392507,130,2021-09-10,
2021,-0.041557,51.533168,Slight,09/10/2021,Saturday,30:00.0,Roundabout,20,Daylight,12.5,0.300000012,0,5.699999809,10,-0.0007253064772512,0.8994234555833812,86,2021-09-10,
2021,0.091842,51.529956,Slight,09/10/2021,Saturday,09:00.0,Dual carriageway,30,Darkness - lights lit,12.5,0.300000012,0,5.699999809,10,0.0016029452916166,0.8993673956078071,272,2021-09-10,
2021,-0.133974,51.510773,Slight,10/10/2021,Sunday,36:00.0,One way street,20,Darkness - lights lit,12.5,0.0,0,9.300000191,10,-0.0023382874120668,0.8990325890973971,167,2021-10-10,
2021,-0.130494,51.516203,Slight,10/10/2021,Sunday,40:00.0,Single carriageway,20,Darkness - lights lit,12.5,0.0,0,9.300000191,10,-0.0022775499540974,0.8991273604757803,151,2021-10-10,
2021,0.141596,51.580921,Slight,08/10/2021,Friday,05:00.0,Single carriageway,50,Daylight,14.89999962,0.300000012,0,5.800000191,10,0.0024713164076538,0.900256902661086,106,2021-08-10,
2021,-0.133183,51.545958,Slight,08/10/2021,Friday,10:00.0,Dual carriageway,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0023244818576836,0.8996466831947113,391,2021-08-10,
2021,0.164977,51.581778,Slight,10/10/2021,Sunday,51:00.0,Dual carriageway,50,Daylight,12.5,0.0,0,9.300000191,10,0.0028793918400626,0.9002718601327756,5,2021-10-10,
2021,-0.145791,51.454666,Slight,10/10/2021,Sunday,55:00.0,Single carriageway,30,Daylight,12.5,0.0,0,9.300000191,10,-0.002544532969775,0.8980533372139806,99,2021-10-10,
2021,-0.02147,51.527885,Slight,03/10/2021,Sunday,40:00.0,Single carriageway,20,Daylight,11.69999981,17.5,0,17.5,10,-0.0003747221904031,0.8993312498389983,95,2021-03-10,
2021,-0.128437,51.510837,Slight,10/10/2021,Sunday,00:00.0,Single carriageway,20,Darkness - lights lit,12.5,0.0,0,9.300000191,10,-0.0022416485313839,0.8990337061081184,365,2021-10-10,
2021,-0.070578,51.588513,Serious,10/10/2021,Sunday,30:00.0,Dual carriageway,30,Darkness - lights lit,12.5,0.0,0,9.300000191,10,-0.0012318184794725,0.9003894080578974,119,2021-10-10,
2021,-0.075608,51.546295,Serious,10/10/2021,Sunday,08:00.0,Single carriageway,20,Darkness - lights lit,12.5,0.0,0,9.300000191,10,-0.0013196085408478,0.8996525649542905,76,2021-10-10,
2021,-0.070447,51.58888,Slight,11/10/2021,Monday,13:00.0,Dual carriageway,30,Daylight,10.10000038,0.0,0,10.10000038,10,-0.0012295320981524,0.9003958134162523,119,2021-11-10,
2021,-0.060538,51.509284,Slight,11/10/2021,Monday,05:00.0,Unknown,30,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0010565874225723,0.8990066011448349,330,2021-11-10,
2021,-0.193662,51.53819,Slight,11/10/2021,Monday,00:00.0,Single carriageway,30,Daylight,10.10000038,0.0,0,10.10000038,10,-0.0033800395359972,0.8995111060184164,109,2021-11-10,
2021,-0.11114,51.387467,Slight,10/10/2021,Sunday,38:00.0,Single carriageway,30,Darkness - lights lit,12.5,0.0,0,9.300000191,10,-0.0019397589306664,0.8968804934099329,408,2021-10-10,
2021,-0.073005,51.566962,Slight,11/10/2021,Monday,30:00.0,Single carriageway,20,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0012741776204184,0.9000132721508,66,2021-11-10,
2021,-0.198784,51.480042,Slight,11/10/2021,Monday,44:00.0,Single carriageway,20,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0034694353002844,0.8984962319649666,402,2021-11-10,
2021,-0.074527,51.555863,Slight,11/10/2021,Monday,50:00.0,Dual carriageway,20,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0013007415316338,0.8998195580571214,222,2021-11-10,
2021,-0.099502,51.582421,Slight,07/10/2021,Thursday,15:00.0,Unknown,20,Darkness - lighting unknown,14.39999962,0.0,0,9.0,10,-0.0017366375123193,0.9002830825998659,84,2021-07-10,
2021,-0.047661,51.521588,Slight,12/10/2021,Tuesday,30:00.0,Dual carriageway,20,Daylight,10.10000038,0.0,0,11.60000038,10,-0.000831841374793,0.8992213464560004,202,2021-12-10,
2021,-0.346644,51.536569,Slight,08/10/2021,Friday,45:00.0,Roundabout,30,Darkness - lights lit,14.89999962,0.300000012,0,5.800000191,10,-0.0060500791322832,0.8994828142312414,146,2021-08-10,
2021,-0.159876,51.501362,Slight,12/10/2021,Tuesday,10:00.0,Roundabout,30,Daylight,10.10000038,0.0,0,11.60000038,10,-0.0027903625949184,0.8988683361614919,71,2021-12-10,
2021,-0.226784,51.582669,Slight,11/10/2021,Monday,10:00.0,Dual carriageway,30,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0039581274908428,0.900287411016411,69,2021-11-10,
2021,-0.074664,51.399409,Serious,06/10/2021,Wednesday,40:00.0,Single carriageway,30,Daylight,11.30000019,0.300000012,0,22.10000038,10,-0.001303132632709,0.897088920629206,371,2021-06-10,
2021,-0.205781,51.496597,Slight,12/10/2021,Tuesday,50:00.0,One way street,30,Daylight,10.10000038,0.0,0,11.60000038,10,-0.0035915559880464,0.8987851712226343,87,2021-12-10,
2021,-0.127437,51.484626,Slight,10/10/2021,Sunday,10:00.0,Unknown,20,Daylight,12.5,0.0,0,9.300000191,10,-0.002224195238864,0.8985762378578781,274,2021-10-10,
2021,-0.095021,51.570829,Slight,12/10/2021,Tuesday,45:00.0,Single carriageway,20,Daylight,10.10000038,0.0,0,11.60000038,10,-0.0016584293085375,0.9000807640329749,101,2021-12-10,
2021,-0.11765,51.52044,Serious,12/10/2021,Tuesday,45:00.0,Dual carriageway,20,Darkness - lights lit,10.10000038,0.0,0,11.60000038,10,-0.0020533798649713,0.8992013100761873,390,2021-12-10,
2021,-0.215135,51.526352,Slight,11/10/2021,Monday,50:00.0,One way street,20,Daylight,10.10000038,0.0,0,10.10000038,10,-0.003754814086278,0.8993044939415652,284,2021-11-10,
2021,-0.040127,51.53086,Slight,14/09/2021,Tuesday,00:00.0,Slip road,20,Darkness - lights lit,15.89999962,3.599999905,0,10.10000038,9,-0.0007003482689477,0.8993831733842451,332,2021-09-14,
2021,-0.099197,51.579341,Slight,09/10/2021,Saturday,28:00.0,Single carriageway,30,Darkness - lights lit,12.5,0.300000012,0,5.699999809,10,-0.0017313142581008,0.9002293264589045,430,2021-09-10,
2021,-0.016452,51.600874,Slight,11/10/2021,Monday,13:00.0,Dual carriageway,30,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0002871415685381,0.9006051482067364,257,2021-11-10,
2021,-0.10284,51.565686,Serious,13/10/2021,Wednesday,00:00.0,Single carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,-0.0017948966027509,0.8999910017495447,211,2021-10-13,
2021,-0.168773,51.427437,Serious,12/10/2021,Tuesday,20:00.0,Single carriageway,30,Darkness - lights lit,10.10000038,0.0,0,11.60000038,10,-0.0029456445384683,0.8975781015119549,15,2021-12-10,
2021,0.0291,51.450276,Slight,13/10/2021,Wednesday,50:00.0,Roundabout,30,Daylight,10.60000038,0.0,0,7.199999809,10,0.0005078908123303,0.8979767172598181,129,2021-10-13,
2021,0.142021,51.581057,Slight,12/10/2021,Tuesday,00:00.0,Slip road,30,Daylight,10.10000038,0.0,0,11.60000038,10,0.0024787340569748,0.9002592763088687,106,2021-12-10,
2021,-0.136117,51.462471,Slight,12/10/2021,Tuesday,10:00.0,Single carriageway,30,Daylight,10.10000038,0.0,0,11.60000038,10,-0.0023756898179371,0.8981895601620988,102,2021-12-10,
2021,-0.166992,51.460809,Slight,13/10/2021,Wednesday,00:00.0,Single carriageway,30,Daylight,10.60000038,0.0,0,7.199999809,10,-0.0029145602244903,0.8981605527899307,250,2021-10-13,
2021,-0.134261,51.463143,Slight,13/10/2021,Wednesday,07:00.0,Single carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,-0.0023432965070201,0.8982012887746721,102,2021-10-13,
2021,-0.092183,51.474147,Slight,13/10/2021,Wednesday,48:00.0,Dual carriageway,20,Daylight,10.60000038,0.0,0,7.199999809,10,-0.0016088968643659,0.8983933448055617,49,2021-10-13,
2021,0.035641,51.452681,Slight,13/10/2021,Wednesday,10:00.0,Roundabout,30,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,0.0006220527987032,0.8980186924283284,124,2021-10-13,
2021,-0.071381,51.472971,Slight,13/10/2021,Wednesday,45:00.0,Single carriageway,20,Daylight,10.60000038,0.0,0,7.199999809,10,-0.001245833473366,0.8983728197335582,112,2021-10-13,
2021,-0.10036,51.495683,Serious,13/10/2021,Wednesday,15:00.0,Roundabout,20,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,-0.0017516124373015,0.8987692189132711,0,2021-10-13,
2021,-0.12958,51.423042,Slight,13/10/2021,Wednesday,00:00.0,Single carriageway,30,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,-0.0022615976447342,0.8975013942913299,26,2021-10-13,
2021,-0.117737,51.476728,Slight,14/10/2021,Thursday,46:00.0,Dual carriageway,30,Daylight,11.39999962,0.0,0,12.60000038,10,-0.0020548983014205,0.8984383917535556,33,2021-10-14,
2021,-0.078501,51.489257,Slight,13/10/2021,Wednesday,12:00.0,Dual carriageway,30,Daylight,10.60000038,0.0,0,7.199999809,10,-0.001370100916108,0.898657064055538,54,2021-10-13,
2021,-0.042063,51.510632,Serious,14/10/2021,Thursday,20:00.0,Dual carriageway,30,Darkness - lights lit,11.39999962,0.0,0,12.60000038,10,-0.0007341378432663,0.8990301281831518,145,2021-10-14,
2021,-0.223103,51.503128,Slight,11/10/2021,Monday,05:00.0,Dual carriageway,20,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0038938819210769,0.8988991586760819,400,2021-11-10,
2021,0.025624,51.546254,Slight,14/10/2021,Thursday,50:00.0,Single carriageway,30,Darkness - lights lit,11.39999962,0.0,0,12.60000038,10,0.000447223167531,0.8996518493692971,158,2021-10-14,
2021,-0.1682,51.530188,Slight,14/10/2021,Thursday,50:00.0,Roundabout,20,Daylight,11.39999962,0.0,0,12.60000038,10,-0.0029356438018544,0.8993714447716719,361,2021-10-14,
2021,-0.072583,51.573537,Slight,15/10/2021,Friday,13:00.0,Single carriageway,30,Daylight,11.0,0.0,0,9.800000191,10,-0.001266812330975,0.9001280275491188,242,2021-10-15,
2021,-0.064565,51.474108,Slight,15/10/2021,Friday,30:00.0,Dual carriageway,20,Daylight,11.0,0.0,0,9.800000191,10,-0.0011268718315501,0.8983926641271532,82,2021-10-15,
2021,-0.12032,51.517569,Slight,15/10/2021,Friday,05:00.0,Dual carriageway,20,Daylight,11.0,0.0,0,9.800000191,10,-0.0020999801559995,0.8991512016733626,290,2021-10-15,
2021,-0.216265,51.52806,Slight,15/10/2021,Friday,10:00.0,Single carriageway,30,Daylight,11.0,0.0,0,9.800000191,10,-0.0037745363068255,0.8993343041651894,11,2021-10-15,
2021,-0.134526,51.463021,Serious,11/10/2021,Monday,00:00.0,Unknown,30,Daylight,10.10000038,0.0,0,10.10000038,10,-0.0023479216295378,0.8981991594729847,102,2021-11-10,
2021,0.176983,51.480456,Slight,15/10/2021,Friday,05:00.0,Roundabout,30,Daylight,11.0,0.0,0,9.800000191,10,0.0030889360700571,0.8985034576280698,57,2021-10-15,
2021,-0.260879,51.551283,Slight,15/10/2021,Friday,30:00.0,Dual carriageway,40,Darkness - lights lit,11.0,0.0,0,9.800000191,10,-0.0045531974993102,0.89973962197738,115,2021-10-15,
2021,-0.132769,51.463731,Serious,16/10/2021,Saturday,15:00.0,Single carriageway,30,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0023172561945803,0.8982115513106739,102,2021-10-16,
2021,-0.219564,51.504477,Slight,16/10/2021,Saturday,15:00.0,One way street,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0038321147188488,0.8989227031676915,111,2021-10-16,
2021,-0.060969,51.589056,Slight,16/10/2021,Saturday,31:00.0,Dual carriageway,30,Darkness - lighting unknown,10.60000038,0.0,0,7.099999905,10,-0.0010641097916484,0.9003988851957357,157,2021-10-16,
2021,-0.069467,51.473622,Slight,13/10/2021,Wednesday,15:00.0,Unknown,30,Darkness - lights lit,10.60000038,0.0,0,7.199999809,10,-0.0012124278714829,0.8983841818269886,309,2021-10-13,
2021,-0.064648,51.518048,Slight,16/10/2021,Saturday,16:00.0,Dual carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0011283204548292,0.8991595618004796,43,2021-10-16,
2021,-0.080738,51.524482,Serious,08/10/2021,Friday,40:00.0,Single carriageway,30,Daylight,14.89999962,0.300000012,0,5.800000191,10,-0.0014091439314751,0.899271856284553,19,2021-08-10,
2021,-0.149741,51.502578,Serious,16/10/2021,Saturday,39:00.0,Unknown,30,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0026134734752288,0.8988895593651961,169,2021-10-16,
2021,-0.102442,51.495168,Slight,16/10/2021,Saturday,30:00.0,Slip road,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.001787950192328,0.8987602304676233,0,2021-10-16,
2021,-0.120089,51.510938,Serious,16/10/2021,Saturday,25:00.0,One way street,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0020959484454274,0.8990354688906629,362,2021-10-16,
2021,-0.152415,51.514113,Slight,16/10/2021,Saturday,10:00.0,Dual carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0026601435794271,0.8990908830944138,153,2021-10-16,
2021,-0.211594,51.45406,Serious,17/10/2021,Sunday,20:00.0,Single carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0036930119774648,0.8980427605187135,219,2021-10-17,
2021,-0.101183,51.452639,Slight,16/10/2021,Saturday,07:00.0,Single carriageway,30,Daylight,10.60000038,0.0,0,7.099999905,10,-0.0017659764970454,0.8980179593900426,323,2021-10-16,
