accidentYear,longitude,latitude,AccidentSeverityDescription,accidentDate,DayOfWeekDescription,accidentTime,RoadTypeDescription,speedLimit,LightConditionsDescription,tavg,prcp,snow,wspd,month,rad_lng,rad_lat,cluster,Timestamp,TimestampInt
2021,-0.352324,51.527414,Slight,17/10/2021,Sunday,58:00.0,Dual carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0061492138337965,0.8993230293382215,177,2021-10-17,
2021,-0.055734,51.519879,Slight,17/10/2021,Sunday,56:00.0,Single carriageway,30,Darkness - lights lit,11.80000019,0.800000012,0,10.39999962,10,-0.0009727418053065,0.8991915187790838,189,2021-10-17,
2021,-0.055696,51.514366,Slight,17/10/2021,Sunday,49:00.0,Single carriageway,30,Darkness - lights lit,11.80000019,0.800000012,0,10.39999962,10,-0.0009720785801907,0.8990952987774212,121,2021-10-17,
2021,-0.165906,51.430063,Slight,17/10/2021,Sunday,05:00.0,Dual carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0028956059488137,0.8976239338581123,107,2021-10-17,
2021,-0.159564,51.435728,Serious,17/10/2021,Sunday,15:00.0,Single carriageway,30,Daylight,11.80000019,0.800000012,0,10.39999962,10,-0.0027849171676522,0.8977228067602377,75,2021-10-17,
2021,-0.149088,51.514402,Serious,18/10/2021,Monday,06:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0026020764752133,0.8990959270959519,153,2021-10-18,
2021,-0.023709,51.474532,Slight,18/10/2021,Monday,20:00.0,Single carriageway,20,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0004138001123553,0.8984000643231819,243,2021-10-18,
2021,-0.068339,51.51667,Slight,18/10/2021,Monday,38:00.0,Single carriageway,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0011927405575204,0.8991355111633872,48,2021-10-18,
2021,-0.024046,51.527317,Slight,18/10/2021,Monday,43:00.0,Single carriageway,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0004196818719345,0.8993213363688468,95,2021-10-18,
2021,-0.102849,51.590775,Slight,18/10/2021,Monday,55:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0017950536823836,0.9004288874055776,175,2021-10-18,
2021,-0.352308,51.527459,Slight,18/10/2021,Monday,03:00.0,Single carriageway,20,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0061489345811161,0.8993238147363848,177,2021-10-18,
2021,-0.130564,51.464847,Slight,18/10/2021,Monday,26:00.0,Unknown,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0022787716845738,0.8982310291851262,104,2021-10-18,
2021,-0.19418,51.538585,Slight,18/10/2021,Monday,27:00.0,Single carriageway,30,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0033890803415225,0.8995180000689617,109,2021-10-18,
2021,-0.211177,51.468433,Slight,18/10/2021,Monday,07:00.0,Single carriageway,30,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.003685733954484,0.8982936166921026,401,2021-10-18,
2021,-0.093466,51.474114,Serious,18/10/2021,Monday,52:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.001631289438669,0.8983927688469086,49,2021-10-18,
2021,0.059467,51.519585,Slight,18/10/2021,Monday,05:00.0,Dual carriageway,30,Darkness - lights unlit,12.89999962,0.300000012,0,12.60000038,10,0.0010378949462834,0.8991863875110828,190,2021-10-18,
2021,-0.075434,51.548711,Slight,18/10/2021,Monday,16:00.0,Single carriageway,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.0013165716679494,0.8996947321090186,159,2021-10-18,
2021,0.069409,51.536991,Slight,18/10/2021,Monday,15:00.0,Roundabout,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,0.0012114155805167,0.8994901795206849,9,2021-10-18,
2021,-0.125283,51.494636,Slight,15/10/2021,Friday,25:00.0,Roundabout,20,Darkness - lights lit,11.0,0.0,0,9.800000191,10,-0.002186600846776,0.8987509453160026,98,2021-10-15,
2021,-0.190024,51.384719,Slight,19/10/2021,Tuesday,00:00.0,Roundabout,30,Daylight,17.10000038,1.5,0,21.5,10,-0.0033165444578097,0.8968325317620881,196,2021-10-19,
2021,-0.016655,51.452237,Slight,19/10/2021,Tuesday,45:00.0,Dual carriageway,30,Daylight,17.10000038,1.5,0,21.5,10,-0.0002906845869196,0.8980109431664496,313,2021-10-19,
2021,0.181194,51.57137,Slight,19/10/2021,Tuesday,44:00.0,Roundabout,30,Darkness - lights lit,17.10000038,1.5,0,21.5,10,0.0031624318848586,0.9000902062642281,409,2021-10-19,
2021,-0.070414,51.588969,Slight,16/10/2021,Saturday,30:00.0,Roundabout,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0012289561394992,0.9003973667592866,119,2021-10-16,
2021,-0.131082,51.425368,Serious,19/10/2021,Tuesday,10:00.0,Single carriageway,20,Daylight,17.10000038,1.5,0,21.5,10,-0.0022878124900992,0.8975419906497313,298,2021-10-19,
2021,-0.085948,51.574872,Slight,19/10/2021,Tuesday,07:00.0,Single carriageway,30,Daylight,17.10000038,1.5,0,21.5,10,-0.001500075585504,0.9001513276946328,89,2021-10-19,
2021,-0.16751,51.530132,Serious,20/10/2021,Wednesday,03:00.0,Roundabout,20,Daylight,14.80000019,18.29999924,0,21.0,10,-0.0029236010300157,0.8993704673872907,361,2021-10-20,
2021,-0.033672,51.525411,Slight,20/10/2021,Wednesday,20:00.0,Dual carriageway,20,Daylight,14.80000019,18.29999924,0,21.0,10,-0.0005876872657315,0.8992880703933039,80,2021-10-20,
2021,-0.167073,51.463822,Slight,14/10/2021,Thursday,15:00.0,Single carriageway,20,Daylight,11.39999962,0.0,0,12.60000038,10,-0.0029159739411844,0.8982131395602932,426,2021-10-14,
2021,-0.114816,51.393839,Slight,12/10/2021,Tuesday,00:00.0,Roundabout,20,Darkness - lights lit,10.10000038,0.0,0,11.60000038,10,-0.0020039172339698,0.89699170578987,32,2021-12-10,
2021,-0.092685,51.494209,Slight,20/10/2021,Wednesday,44:00.0,Dual carriageway,30,Daylight,14.80000019,18.29999924,0,21.0,10,-0.0016176584172109,0.8987434927600966,2,2021-10-20,
2021,0.029711,51.525302,Slight,20/10/2021,Wednesday,45:00.0,Single carriageway,30,Darkness - lights lit,14.80000019,18.29999924,0,21.0,10,0.00051855477406,0.8992861679844193,268,2021-10-20,
2021,-0.192772,51.456487,Serious,21/10/2021,Thursday,55:00.0,Single carriageway,20,Darkness - lights lit,8.600000381,20.10000038,0,19.89999962,10,-0.0033645061056545,0.8980851196596594,223,2021-10-21,
2021,-0.10316,51.378525,Slight,20/10/2021,Wednesday,05:00.0,Dual carriageway,20,Darkness - lights lit,14.80000019,18.29999924,0,21.0,10,-0.0018004816563573,0.8967244260682197,113,2021-10-20,
2021,-0.055233,51.49917,Slight,18/10/2021,Monday,20:00.0,Roundabout,20,Darkness - lights lit,12.89999962,0.300000012,0,12.60000038,10,-0.000963997705754,0.8988300785442882,304,2021-10-18,
2021,-0.124596,51.441856,Slight,21/10/2021,Thursday,22:00.0,Dual carriageway,30,Darkness - lights lit,8.600000381,20.10000038,0,19.89999962,10,-0.0021746104348148,0.8978297605368002,324,2021-10-21,
2021,-0.117152,51.460864,Serious,06/09/2021,Monday,10:00.0,Dual carriageway,30,Daylight,19.39999962,0.0,0,7.300000191,9,-0.0020446881252963,0.8981615127210192,77,2021-06-09,
2021,-0.126908,51.507719,Slight,21/10/2021,Thursday,40:00.0,Roundabout,30,Daylight,8.600000381,20.10000038,0,19.89999962,10,-0.0022149624471209,0.8989792867420412,140,2021-10-21,
2021,-0.102861,51.465616,Slight,21/10/2021,Thursday,01:00.0,Single carriageway,30,Daylight,8.600000381,20.10000038,0,19.89999962,10,-0.0017952631218938,0.8982444507670739,162,2021-10-21,
2021,-0.08098,51.490943,Slight,21/10/2021,Thursday,58:00.0,Dual carriageway,30,Daylight,8.600000381,20.10000038,0,19.89999962,10,-0.001413367628265,0.8986864903067266,39,2021-10-21,
2021,0.083652,51.528367,Slight,21/10/2021,Thursday,35:00.0,Dual carriageway,50,Daylight,8.600000381,20.10000038,0,19.89999962,10,0.0014600028258782,0.8993396623259929,422,2021-10-21,
2021,-0.040133,51.530734,Slight,11/10/2021,Monday,30:00.0,Unknown,20,Darkness - lights lit,10.10000038,0.0,0,10.10000038,10,-0.0007004529887028,0.8993809742693876,332,2021-11-10,
2021,-0.182439,51.464062,Slight,21/10/2021,Thursday,57:00.0,Single carriageway,20,Daylight,8.600000381,20.10000038,0,19.89999962,10,-0.0031841612340459,0.8982173283504978,376,2021-10-21,
2021,-0.189134,51.478239,Slight,21/10/2021,Thursday,30:00.0,Single carriageway,20,Daylight,8.600000381,20.10000038,0,19.89999962,10,-0.0033010110274669,0.8984647636785532,139,2021-10-21,
2021,-0.253525,51.558745,Slight,22/10/2021,Friday,00:00.0,Slip road,40,Daylight,7.699999809,0.0,0,14.39999962,10,-0.0044248459861186,0.8998698584461637,50,2021-10-22,
2021,-0.112478,51.470519,Slight,15/10/2021,Friday,00:00.0,Single carriageway,30,Darkness - lights lit,11.0,0.0,0,9.800000191,10,-0.0019631114360581,0.8983300242602994,297,2021-10-15,
2021,-0.152297,51.506351,Slight,22/10/2021,Friday,30:00.0,Unknown,20,Daylight,7.699999809,0.0,0,14.39999962,10,-0.0026580840909098,0.898955410637874,384,2021-10-22,
2021,-0.016575,51.464709,Slight,22/10/2021,Friday,48:00.0,Single carriageway,30,Darkness - lights lit,7.699999809,0.0,0,14.39999962,10,-0.000289288323518,0.8982286206307584,293,2021-10-22,
2021,-0.128206,51.435196,Slight,22/10/2021,Friday,20:00.0,Dual carriageway,30,Darkness - lights lit,7.699999809,0.0,0,14.39999962,10,-0.0022376168208118,0.8977135216086173,31,2021-10-22,
2021,-0.075919,51.528333,Serious,21/10/2021,Thursday,40:00.0,Unknown,20,Daylight,8.600000381,20.10000038,0,19.89999962,10,-0.0013250365148215,0.8993390689140474,261,2021-10-21,
2021,-0.211146,51.468478,Slight,22/10/2021,Friday,38:00.0,Single carriageway,30,Daylight,7.699999809,0.0,0,14.39999962,10,-0.0036851929024159,0.898294402090266,401,2021-10-22,
2021,-0.122,51.451122,Serious,22/10/2021,Friday,10:00.0,Unknown,20,Daylight,7.699999809,0.0,0,14.39999962,10,-0.002129301687433,0.8979914827452898,278,2021-10-22,
2021,-0.370801,51.546142,Slight,23/10/2021,Saturday,00:00.0,Single carriageway,20,Daylight,8.0,0.0,0,9.300000191,10,-0.0064716983196874,0.8996498946005349,255,2021-10-23,
2021,-0.137946,51.525035,Serious,14/10/2021,Thursday,45:00.0,Single carriageway,30,Daylight,11.39999962,0.0,0,12.60000038,10,-0.002407611889956,0.8992815079553165,92,2021-10-14,
2021,-0.353249,51.527742,Slight,23/10/2021,Saturday,13:00.0,Single carriageway,20,Daylight,8.0,0.0,0,9.300000191,10,-0.0061653581293774,0.899328754018168,177,2021-10-23,
2021,-0.144281,51.514965,Slight,23/10/2021,Saturday,51:00.0,One way street,20,Daylight,8.0,0.0,0,9.300000191,10,-0.0025181784980699,0.8991057532996406,91,2021-10-23,
2021,-0.170659,51.478923,Slight,23/10/2021,Saturday,10:00.0,Single carriageway,30,Darkness - lights lit,8.0,0.0,0,9.300000191,10,-0.002978561448161,0.8984767017306369,193,2021-10-23,
2021,-0.038071,51.475421,Slight,22/10/2021,Friday,15:00.0,Unknown,20,Darkness - lights lit,7.699999809,0.0,0,14.39999962,10,-0.0006644642995267,0.8984155803002319,314,2021-10-22,
2021,-0.167342,51.518178,Slight,23/10/2021,Saturday,42:00.0,Unknown,20,Darkness - lights unlit,8.0,0.0,0,9.300000191,10,-0.0029206688768723,0.8991618307285072,368,2021-10-23,
2021,-0.092127,51.47411,Slight,24/10/2021,Sunday,30:00.0,Single carriageway,30,Darkness - lights lit,10.80000019,0.0,0,13.10000038,10,-0.0016079194799848,0.8983926990337383,49,2021-10-24,
2021,-0.182255,51.495137,Serious,16/10/2021,Saturday,20:00.0,Dual carriageway,30,Daylight,10.60000038,0.0,0,7.099999905,10,-0.0031809498282222,0.8987596894155552,282,2021-10-16,
2021,-0.129323,51.431446,Slight,24/10/2021,Sunday,35:00.0,Single carriageway,30,Daylight,10.80000019,0.0,0,13.10000038,10,-0.0022571121485566,0.8976480717616675,206,2021-10-24,
2021,-0.073205,51.565292,Slight,22/10/2021,Friday,48:00.0,Dual carriageway,20,Darkness - lights lit,7.699999809,0.0,0,14.39999962,10,-0.0012776682789224,0.8999841251522919,103,2021-10-22,
2021,-0.047297,51.521672,Serious,24/10/2021,Sunday,22:00.0,Dual carriageway,20,Daylight,10.80000019,0.0,0,13.10000038,10,-0.0008254883763157,0.899222812532572,202,2021-10-24,
2021,-0.149786,51.502876,Slight,22/10/2021,Friday,30:00.0,One way street,30,Darkness - lights lit,7.699999809,0.0,0,14.39999962,10,-0.0026142588733922,0.8988947604463671,169,2021-10-22,
2021,-0.092155,51.47412,Slight,24/10/2021,Sunday,16:00.0,One way street,20,Daylight,10.80000019,0.0,0,13.10000038,10,-0.0016084081721753,0.8983928735666636,49,2021-10-24,
2021,0.014674,51.446235,Serious,24/10/2021,Sunday,00:00.0,Single carriageway,30,Darkness - lights lit,10.80000019,0.0,0,13.10000038,10,0.0002561096144376,0.8979061885047449,137,2021-10-24,
2021,-0.127301,51.50831,Slight,25/10/2021,Monday,45:00.0,Single carriageway,20,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0022218215910813,0.8989896016379204,140,2021-10-25,
2021,-0.030522,51.525924,Slight,18/10/2021,Monday,45:00.0,Dual carriageway,30,Daylight,12.89999962,0.300000012,0,12.60000038,10,-0.0005327093942937,0.8992970239323668,333,2021-10-18,
2021,-0.225081,51.505271,Slight,25/10/2021,Monday,15:00.0,Unknown,30,Daylight,11.0,0.5,0,11.89999962,10,-0.0039284045336813,0.8989365610819523,235,2021-10-25,
2021,-0.133637,51.510902,Slight,10/10/2021,Sunday,15:00.0,Unknown,20,Darkness - lighting unknown,12.5,0.0,0,9.300000191,10,-0.0023324056524876,0.8990348405721322,167,2021-10-10,
2021,-0.062589,51.517663,Slight,16/10/2021,Saturday,35:00.0,Single carriageway,20,Darkness - lights lit,10.60000038,0.0,0,7.099999905,10,-0.0010923841255307,0.8991528422828594,328,2021-10-16,
2021,-0.126089,51.500989,Slight,24/10/2021,Sunday,36:00.0,Single carriageway,20,Daylight,10.80000019,0.0,0,13.10000038,10,-0.0022006682005471,0.8988618260833819,85,2021-10-24,
2021,-0.330898,51.455324,Slight,24/10/2021,Sunday,20:00.0,Unknown,30,Darkness - lighting unknown,10.80000019,0.0,0,13.10000038,10,-0.0057752595882641,0.8980648214804587,442,2021-10-24,
2021,-0.046894,51.49136,Slight,10/10/2021,Sunday,29:00.0,Slip road,20,Daylight,12.5,0.0,0,9.300000191,10,-0.0008184546994302,0.8986937683297073,424,2021-10-10,
2021,-0.061545,51.509328,Slight,25/10/2021,Monday,30:00.0,Dual carriageway,30,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0010741628881399,0.8990073690897057,330,2021-10-25,
2021,-0.041819,51.512957,Slight,25/10/2021,Monday,01:00.0,Dual carriageway,30,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0007298792398915,0.8990707070882605,7,2021-10-25,
2021,-0.069507,51.594017,Serious,25/10/2021,Monday,15:00.0,Single carriageway,30,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0012131260031836,0.9004854709799273,60,2021-10-25,
2021,-0.111284,51.38782,Slight,25/10/2021,Monday,00:00.0,Single carriageway,30,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0019422722047893,0.8968866544221925,408,2021-10-25,
2021,-0.133408,51.526366,Slight,25/10/2021,Monday,30:00.0,Single carriageway,30,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0023284088485005,0.8993047382876607,188,2021-10-25,
2021,-0.112561,51.498856,Serious,14/10/2021,Thursday,10:00.0,Dual carriageway,30,Daylight,11.39999962,0.0,0,12.60000038,10,-0.0019645600593373,0.8988245982104369,312,2021-10-14,
2021,-0.095975,51.570781,Slight,26/10/2021,Tuesday,00:00.0,Single carriageway,30,Daylight,11.39999962,0.5,0,14.69999981,10,-0.0016750797496015,0.9000799262749338,101,2021-10-26,
2021,-0.17423,51.523627,Slight,25/10/2021,Monday,49:00.0,Single carriageway,30,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0030408871557497,0.8992569337194484,133,2021-10-25,
2021,-0.099246,51.579908,Slight,25/10/2021,Monday,30:00.0,Single carriageway,20,Darkness - lights lit,11.0,0.5,0,11.89999962,10,-0.0017321694694342,0.9002392224757634,430,2021-10-25,
2021,-0.166095,51.472422,Slight,26/10/2021,Tuesday,43:00.0,Single carriageway,20,Daylight,11.39999962,0.5,0,14.69999981,10,-0.0028989046210999,0.8983632378759646,246,2021-10-26,
2021,-0.047763,51.521572,Slight,26/10/2021,Tuesday,30:00.0,Single carriageway,30,Darkness - lights lit,11.39999962,0.5,0,14.69999981,10,-0.00083362161063,0.8992210672033198,202,2021-10-26,
2021,-0.046136,51.521869,Serious,27/10/2021,Wednesday,03:00.0,Single carriageway,30,Darkness - lights lit,13.89999962,0.0,0,20.79999924,10,-0.0008052251037001,0.8992262508311984,202,2021-10-27,
2021,-0.24824,51.584367,Slight,27/10/2021,Wednesday,55:00.0,Single carriageway,30,Daylight,13.89999962,0.0,0,20.79999924,10,-0.0043326053351507,0.9003170467071098,339,2021-10-27,
2021,-0.114832,51.393453,Slight,26/10/2021,Tuesday,16:00.0,Dual carriageway,30,Daylight,11.39999962,0.5,0,14.69999981,10,-0.0020041964866501,0.8969849688189573,32,2021-10-26,
2021,-0.092279,51.441109,Slight,27/10/2021,Wednesday,03:00.0,Unknown,50,Daylight,13.89999962,0.0,0,20.79999924,10,-0.0016105723804478,0.8978167229272876,3,2021-10-27,
2021,-0.077492,51.522828,Slight,27/10/2021,Wednesday,20:00.0,One way street,20,Daylight,13.89999962,0.0,0,20.79999924,10,-0.0013524905439554,0.899242988538725,108,2021-10-27,
2021,-0.207273,51.4909,Slight,28/10/2021,Thursday,00:00.0,Dual carriageway,30,Daylight,12.80000019,0.0,0,17.89999962,10,-0.0036175963004862,0.8986857398151482,186,2021-10-28,
2021,0.001508,51.540643,Slight,28/10/2021,Thursday,40:00.0,Single carriageway,30,Daylight,12.80000019,0.0,0,17.89999962,10,2.6319565120074488e-05,0.8995539189449677,267,2021-10-28,
2021,-0.152691,51.443471,Slight,27/10/2021,Wednesday,00:00.0,Unknown,30,Daylight,13.89999962,0.0,0,20.79999924,10,-0.0026649606881626,0.8978579476042199,44,2021-10-27,
2021,-0.192394,51.488657,Slight,28/10/2021,Thursday,50:00.0,One way street,30,Daylight,12.80000019,0.0,0,17.89999962,10,-0.0033579087610819,0.8986465920800261,281,2021-10-28,
2021,-0.217162,51.460772,Slight,28/10/2021,Thursday,34:00.0,Single carriageway,20,Daylight,12.80000019,0.0,0,17.89999962,10,-0.0037901919102159,0.8981599070181073,138,2021-10-28,
2021,-0.133224,51.510086,Slight,28/10/2021,Thursday,00:00.0,Dual carriageway,20,Daylight,12.80000019,0.0,0,17.89999962,10,-0.0023251974426769,0.8990205986854358,366,2021-10-28,
2021,-0.130269,51.50798,Slight,27/10/2021,Wednesday,15:00.0,Single carriageway,20,Darkness - lights lit,13.89999962,0.0,0,20.79999924,10,-0.0022736229632804,0.8989838420513889,440,2021-10-27,
2021,0.053885,51.533595,Slight,28/10/2021,Thursday,36:00.0,Single carriageway,30,Daylight,12.80000019,0.0,0,17.89999962,10,0.0009404706674371,0.8994309081392872,6,2021-10-28,
2021,-0.121615,51.473121,Slight,28/10/2021,Thursday,55:00.0,Single carriageway,30,Darkness - lights lit,12.80000019,0.0,0,17.89999962,10,-0.0021225821698129,0.8983754377274361,207,2021-10-28,
2021,-0.172955,51.481639,Serious,28/10/2021,Thursday,35:00.0,Single carriageway,20,Darkness - lights lit,12.80000019,0.0,0,17.89999962,10,-0.0030186342077867,0.898524104873121,1,2021-10-28,
